seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
9,dataset2,ours_gmmq,3,0.1857,0.1824,0.189,0.3,0.0,0.01266,0.4912,False,0.3,1031,fixed_E
9,in_the_wild,ours_gmmq,0,0.1,0.025,0.175,0.3,,,0.1248,False,0.3,3648,
9,in_the_wild,ours_gmmq,1,0.1286,0.0321,0.2251,0.3,0.0,0.04817,0.1248,False,0.3,2828,
9,in_the_wild,ours_gmmq,2,0.1571,0.0392,0.2751,0.3,0.0,0.04401,0.1248,False,0.3,1907,
9,in_the_wild,ours_gmmq,3,0.1857,0.0463,0.3251,0.3,0.0,0.01454,0.1248,False,0.3,2235,fixed_E
9,asvspoof2019,ours_gmmq,0,0.1,0.0209,0.1791,0.3,,,0.1047,False,0.3,1233,
9,asvspoof2019,ours_gmmq,1,0.1286,0.0269,0.2302,0.3,0.0,0.18077,0.1047,False,0.3,1553,
9,asvspoof2019,ours_gmmq,2,0.1571,0.0329,0.2814,0.3,0.0,0.18041,0.1047,False,0.3,1887,
9,asvspoof2019,ours_gmmq,3,0.1857,0.0389,0.3325,0.3,0.0,0.09601,0.1047,False,0.3,2230,fixed_E
3,arabic,ours_gmmq,0,0.1,0.085,0.115,0.3,,,0.4251,False,0.3,1203,
3,arabic,ours_gmmq,1,0.1286,0.1093,0.1478,0.3,0.0,0.31913,0.4251,False,0.3,1546,
3,arabic,ours_gmmq,2,0.1571,0.1336,0.1807,0.3,0.0,0.04523,0.4251,False,0.3,1886,
3,arabic,ours_gmmq,3,0.1857,0.1579,0.2135,0.3,0.0,0.01515,0.4251,False,0.3,2233,fixed_E
3,dataset2,ours_gmmq,0,0.1,0.1031,0.0969,0.3,,,0.5157,False,0.3,831,
3,dataset2,ours_gmmq,1,0.1286,0.1326,0.1245,0.3,0.0,0.4479,0.5157,False,0.3,1025,
3,dataset2,ours_gmmq,2,0.1571,0.1621,0.1522,0.3,0.0,0.09672,0.5157,False,0.3,1251,
3,dataset2,ours_gmmq,3,0.1857,0.1915,0.1799,0.3,0.0,0.02777,0.5157,False,0.3,1478,fixed_E
3,in_the_wild,ours_gmmq,0,0.1,0.0459,0.1541,0.3,,,0.2294,False,0.3,2935,
3,in_the_wild,ours_gmmq,1,0.1286,0.059,0.1982,0.3,0.0,0.14705,0.2294,False,0.3,1611,
3,in_the_wild,ours_gmmq,2,0.1571,0.0721,0.2422,0.3,0.0,0.03469,0.2294,False,0.3,1889,
3,in_the_wild,ours_gmmq,3,0.1857,0.0852,0.2862,0.3,0.0,0.03127,0.2294,False,0.3,2235,fixed_E
3,asvspoof2019,ours_gmmq,0,0.1,0.0642,0.1358,0.3,,,0.3208,False,0.3,2444,
3,asvspoof2019,ours_gmmq,1,0.1286,0.0825,0.1746,0.3,0.0,0.21149,0.3208,False,0.3,1559,
3,asvspoof2019,ours_gmmq,2,0.1571,0.1008,0.2134,0.3,0.0,0.08341,0.3208,False,0.3,1894,
3,asvspoof2019,ours_gmmq,3,0.1857,0.1192,0.2523,0.3,0.0,0.02743,0.3208,False,0.3,2234,fixed_E
4,arabic,ours_gmmq,0,0.1,0.069,0.131,0.3,,,0.3448,False,0.3,1244,
4,arabic,ours_gmmq,1,0.1286,0.0887,0.1685,0.3,0.0,0.42408,0.3448,False,0.3,1549,
4,arabic,ours_gmmq,2,0.1571,0.1084,0.2059,0.3,0.0,0.05397,0.3448,False,0.3,1893,
4,arabic,ours_gmmq,3,0.1857,0.1281,0.2433,0.3,0.0,0.03159,0.3448,False,0.3,2236,fixed_E
4,dataset2,ours_gmmq,0,0.1,0.1249,0.0751,0.3,,,0.6246,False,0.3,851,
4,dataset2,ours_gmmq,1,0.1286,0.1606,0.0965,0.3,0.0,0.57395,0.6246,False,0.3,1025,
4,dataset2,ours_gmmq,2,0.1571,0.1963,0.118,0.3,0.0,0.03515,0.6246,False,0.3,1251,
